sample,template,parse_status,parse_summary,list_status,list_count,error
car_html_table.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
car_hybrid.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
car_jsonld.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
car_meta.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
car_microdata.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
Ford EcoSport details _ carwow.co.uk.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
listing_card.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
listing_grid.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
listing_section.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
New Car Deals _ 75 Plates In Stock _ Autotrader.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
Subaru Outback details _ carwow.co.uk.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
Used Cars for Sale _ Second Hand Cars _ Carwow.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
Used cars for sale. Barnoldswick & Lancashire car Dealer _ Anyvehicle.co.uk.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
Used Ford Cars For Sale _ Autotrader UK.html,pagination_path,error,,error,0,NotImplementedError(); NotImplementedError()
"2013 Brown Ford C-Max for sale for £995 in Romford, Essex.html",dealer_info_jsonld,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
"2015 Black MINI Hatch for sale for £4,995 in Harrow, Middlesex.html",dealer_info_jsonld,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_html_table.html,dealer_info_jsonld,ok,"{'name': '2019 BMW X5', 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_hybrid.html,dealer_info_jsonld,ok,"{'name': '2018 Sample Hybrid', 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_jsonld.html,dealer_info_jsonld,ok,"{'name': '2014 Fiat 500c', 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_meta.html,dealer_info_jsonld,ok,"{'name': '2017 Meta Car', 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_microdata.html,dealer_info_jsonld,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Ford EcoSport details _ carwow.co.uk.html,dealer_info_jsonld,ok,"{'name': 'Ford EcoSport1.0 EcoBoost 125 ST-Line', 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_card.html,dealer_info_jsonld,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_grid.html,dealer_info_jsonld,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_section.html,dealer_info_jsonld,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
